states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
New Jersey,Gloucester Township,"64,898",320.5,5.49954128440367,10.8,63.2,246.5,777.3285714285714,607.1,798.0586206896552,95.5
Arizona,Goodyear,"67,033",153.7,5.49954128440367,17.9,35.8,100.0,777.3285714285714,714.6,798.0586206896552,159.6
New York,Greece Town,"96,752",133.3,5.49954128440367,18.6,47.5,67.2,777.3285714285714,423.8,798.0586206896552,79.6
Colorado,Greeley,"96,276",442.5,1.0,41.5,66.5,333.4,777.3285714285714,563.0,798.0586206896552,146.5
North Carolina,Greenville,"86,869",523.8,8.1,26.5,194.5,294.7,777.3285714285714,521.5048780487805,798.0586206896552,137.0
South Carolina,Greenville,"60,953",835.1,1.6,34.5,170.6,628.4,777.3285714285714,989.3,798.0586206896552,342.9
Connecticut,Greenwich,"61,948",37.1,5.49954128440367,3.2,9.7,24.2,594.0,72.6,485.9,35.5
Connecticut,Hamden,"61,032",527.6,3.3,4.9,63.9,455.5,777.3285714285714,321.1,798.0586206896552,158.9
New Jersey,"Hamilton Township, Mercer County","89,111",211.0,5.49954128440367,11.2,110.0,89.8,777.3285714285714,548.8,798.0586206896552,148.1
Ohio,Hamilton,"62,791",592.4,4.8,141.7,250.0,195.9,777.3285714285714,521.5048780487805,798.0586206896552,328.1
Indiana,Hammond,"81,010",820.9,7.4,22.2,237.0,554.3,777.3285714285714,521.5048780487805,798.0586206896552,455.5
Texas,Harlingen,"67,112",403.8,6.0,34.3,92.4,271.2,777.3285714285714,903.0,798.0586206896552,165.4
Massachusetts,Haverhill,"61,897",675.3,3.2,19.4,84.0,568.7,777.3285714285714,634.9,798.0586206896552,203.6
California,Hawthorne,"85,692",743.4,8.2,30.3,358.3,346.6,777.3285714285714,671.0,798.0586206896552,546.1
California,Hemet,"81,213",499.9,1.2,25.9,179.8,293.1,777.3285714285714,521.5048780487805,798.0586206896552,589.8
California,Hesperia,"92,383",435.1,6.5,18.4,74.7,335.6,777.3285714285714,992.6,798.0586206896552,433.0
Oregon,Hillsboro,"94,119",191.2,2.1,36.1,55.2,97.7,777.3285714285714,343.2,798.0586206896552,122.2
Florida,Homestead,"62,785",342.0057553956834,6.4,52.6,501.7,230.85529801324503,777.3285714285714,521.5048780487805,798.0586206896552,299.4
Alabama,Hoover,"82,332",104.5,2.4,15.8,55.9,30.4,777.3285714285714,477.3,798.0586206896552,103.2
California,Indio,"78,501",573.2,2.5,28.0,194.9,347.8,777.3285714285714,521.5048780487805,798.0586206896552,622.9
Iowa,Iowa City,"69,214",267.3,1.4,41.9,44.8,179.2,777.3285714285714,559.1,798.0586206896552,88.1
Tennessee,Jackson,"65,725",342.0057553956834,16.7,33.5,290.6,230.85529801324503,777.3285714285714,521.5048780487805,798.0586206896552,205.4
Wisconsin,Janesville,"63,642",281.3,3.1,33.0,55.0,190.1,777.3285714285714,532.7,798.0586206896552,102.1
Georgia,Johns Creek,"80,037",53.7,5.49954128440367,3.7,20.0,30.0,657.2,129.9,507.3,20.0
Tennessee,Johnson City,"64,342",495.8,1.6,21.8,79.3,393.2,777.3285714285714,839.3,798.0586206896552,150.8
Arkansas,Jonesboro,"68,807",428.7,5.8,30.5,113.4,279.0,777.3285714285714,521.5048780487805,798.0586206896552,148.2
California,Jurupa Valley,"97,577",319.7,1.0,12.3,95.3,211.1,777.3285714285714,749.2,798.0586206896552,680.5
Michigan,Kalamazoo,"74,797",878.4,12.0,102.9,220.6,542.8,777.3285714285714,521.5048780487805,798.0586206896552,200.5
Louisiana,Kenner,"67,110",207.1,3.0,17.9,90.9,95.4,777.3285714285714,576.7,798.0586206896552,222.0
Washington,Kennewick,"76,971",297.5,1.3,42.9,45.5,207.9,777.3285714285714,584.6,798.0586206896552,165.0
Wisconsin,Kenosha,"99,993",274.0,1.0,36.0,105.0,132.0,777.3285714285714,707.0,798.0586206896552,98.0
Florida,Kissimmee,"62,183",905.4,3.2,54.7,194.6,652.9,777.3285714285714,521.5048780487805,798.0586206896552,225.1
California,La Habra,"61,731",238.1,3.2,11.3,72.9,150.7,777.3285714285714,413.1,798.0586206896552,171.7
Indiana,Lafayette,"68,160",597.1,1.5,52.8,101.2,441.6,777.3285714285714,521.5048780487805,798.0586206896552,290.5
California,Laguna Niguel,"64,533",72.8,5.49954128440367,9.3,24.8,38.7,777.3285714285714,291.3,838.3,54.2
California,Lake Forest,"79,166",135.2,5.49954128440367,10.1,25.3,99.8,777.3285714285714,286.7,798.0586206896552,79.6
Florida,Lakeland,"99,934",465.3,10.0,33.0,144.1,278.2,777.3285714285714,521.5048780487805,798.0586206896552,185.1
New Jersey,Lakewood Township,"93,742",117.3,2.1,1.1,49.1,65.1,777.3285714285714,292.3,837.4,46.9
California,Lakewood,"81,382",278.9,1.2,16.0,125.3,136.4,777.3285714285714,455.9,798.0586206896552,380.9
Pennsylvania,Lancaster,"60,155",773.0,11.6,61.5,345.8,354.1,777.3285714285714,729.8,798.0586206896552,182.9
Florida,Largo,"78,783",500.1,1.3,54.6,144.7,299.6,777.3285714285714,728.6,798.0586206896552,165.0
New Mexico,Las Cruces,"99,824",394.7,5.0,56.1,70.1,263.5,777.3285714285714,992.7,798.0586206896552,214.4
Florida,Lauderhill,"69,046",850.2,11.6,27.5,350.5,460.6,777.3285714285714,521.5048780487805,798.0586206896552,267.9
Kansas,Lawrence,"89,180",414.9,5.49954128440367,58.3,59.4,297.2,777.3285714285714,677.3,798.0586206896552,227.6
Massachusetts,Lawrence,"77,661",342.0057553956834,2.6,32.2,287.1,688.9,777.3285714285714,690.2,956.7,883.3
Oklahoma,Lawton,"98,781",931.4,13.2,38.5,175.1,704.6,777.3285714285714,521.5048780487805,798.0586206896552,302.7
Utah,Layton,"69,420",121.0,5.49954128440367,47.5,10.1,63.4,777.3285714285714,469.6,798.0586206896552,99.4
Texas,League City,"86,127",91.7,5.49954128440367,18.6,32.5,40.6,777.3285714285714,347.2,798.0586206896552,80.1
Missouri,Lee's Summit,"91,840",118.7,5.49954128440367,14.2,26.1,78.4,777.3285714285714,286.4,798.0586206896552,117.6
California,Livermore,"82,800",363.5,5.49954128440367,18.1,38.6,306.8,777.3285714285714,374.4,798.0586206896552,212.6
Michigan,Livonia,"96,028",152.0,3.1,19.8,33.3,95.8,777.3285714285714,336.4,798.0586206896552,208.3
California,Lodi,"63,718",439.4,3.1,18.8,135.0,282.5,777.3285714285714,521.5048780487805,798.0586206896552,528.9
Colorado,Longmont,"88,925",211.4,5.49954128440367,12.4,33.7,165.3,777.3285714285714,403.7,798.0586206896552,118.1
Texas,Longview,"82,554",560.8,8.5,33.9,158.7,359.8,777.3285714285714,521.5048780487805,798.0586206896552,382.8
Ohio,Lorain,"64,148",506.6,6.2,53.0,212.0,235.4,777.3285714285714,521.5048780487805,798.0586206896552,183.9
Colorado,Loveland,"69,147",209.7,5.49954128440367,31.8,31.8,146.1,777.3285714285714,328.3,798.0586206896552,66.5
Virginia,Lynchburg,"77,347",345.2,3.9,44.0,59.5,237.9,777.3285714285714,471.9,798.0586206896552,89.2
Massachusetts,Lynn,"91,846",820.9,2.2,52.3,185.1,581.4,777.3285714285714,760.0,798.0586206896552,301.6
California,Lynwood,"70,908",763.0,12.7,33.8,297.6,418.9,777.3285714285714,493.6,709.4,733.3
Georgia,Macon,"92,836",628.0,22.6,44.2,260.7,300.5,777.3285714285714,521.5048780487805,798.0586206896552,538.6
California,Madera,"62,796",742.1,3.2,30.3,181.5,527.1,777.3285714285714,521.5048780487805,990.5,551.0
Massachusetts,Malden,"60,605",462.0,1.7,31.4,123.8,305.3,777.3285714285714,463.7,798.0586206896552,211.2
California,Manteca,"68,887",384.7,5.49954128440367,16.0,120.5,248.2,777.3285714285714,659.1,798.0586206896552,556.0
Minnesota,Maple Grove,"62,840",342.0057553956834,5.49954128440367,28.092157534246574,17.5,20.7,777.3285714285714,251.4,798.0586206896552,39.8
Washington,Marysville,"61,381",189.0,3.3,26.1,58.7,101.0,777.3285714285714,648.4,798.0586206896552,327.5
Oregon,Medford,"76,037",558.9,2.6,51.3,84.2,420.8,777.3285714285714,627.3,798.0586206896552,232.8
Florida,Melbourne,"77,133",853.1,7.8,62.2,172.4,610.6,777.3285714285714,840.1,798.0586206896552,154.3
California,Menifee,"80,047",108.7,1.2,5.0,30.0,72.5,777.3285714285714,633.4,798.0586206896552,407.3
California,Merced,"80,976",342.0057553956834,11.1,30.9,265.5,692.8,777.3285714285714,521.5048780487805,798.0586206896552,537.2
Connecticut,Meriden,"60,934",364.3,8.2,41.0,124.7,190.4,777.3285714285714,690.9,798.0586206896552,275.7
Idaho,Meridian,"77,270",119.1,5.49954128440367,16.8,11.6,90.6,777.3285714285714,284.7,798.0586206896552,25.9
Florida,Miami Beach,"91,066",342.0057553956834,5.5,46.1,446.9,534.8,777.3285714285714,521.5048780487805,798.0586206896552,487.6
New Jersey,Middletown Township,"66,919",67.2,1.5,9.0,12.0,44.8,777.3285714285714,240.6,829.4,22.4
California,Milpitas,"68,433",118.4,1.5,16.1,49.7,51.1,777.3285714285714,485.1,798.0586206896552,498.3
California,Mission Viejo,"95,599",76.4,5.49954128440367,3.1,29.3,43.9,777.3285714285714,225.9,979.1,47.1
Texas,Mission,"80,557",129.1,3.7,7.4,57.1,60.8,777.3285714285714,525.1,798.0586206896552,197.4
Montana,Missoula,"67,758",326.2,5.49954128440367,36.9,48.7,240.6,777.3285714285714,557.9,798.0586206896552,155.0
Texas,Missouri City,"70,819",121.4,5.49954128440367,11.3,48.0,62.1,777.3285714285714,309.2,865.6,66.4
California,Montebello,"63,538",229.8,4.7,6.3,105.4,113.3,777.3285714285714,521.5048780487805,978.9,684.6
California,Monterey Park,"61,270",122.4,6.5,1.6,68.5,45.7,777.3285714285714,406.4,899.3,362.3
South Carolina,Mount Pleasant,"70,016",218.5,5.49954128440367,7.1,8.6,202.8,777.3285714285714,245.7,798.0586206896552,82.8
New York,Mount Vernon,"68,146",899.5,14.7,20.5,330.2,534.1,777.3285714285714,475.4,798.0586206896552,198.1
California,Mountain View,"75,933",204.1,5.49954128440367,6.6,44.8,152.8,777.3285714285714,234.4,798.0586206896552,150.1
Indiana,Muncie,"70,300",367.0,1.4,12.8,140.8,211.9,777.3285714285714,981.5,798.0586206896552,288.8
Idaho,Nampa,"83,316",243.7,2.4,52.8,24.0,164.4,777.3285714285714,612.1,798.0586206896552,96.0
California,Napa,"78,589",274.8,2.5,21.6,49.6,201.0,777.3285714285714,444.1,798.0586206896552,281.2
New Hampshire,Nashua,"86,870",234.8,5.49954128440367,42.6,55.3,137.0,777.3285714285714,431.7,798.0586206896552,96.7
Massachusetts,New Bedford,"96,031",342.0057553956834,2.1,56.2,283.2,731.0,777.3285714285714,967.4,798.0586206896552,313.4
Texas,New Braunfels,"60,482",190.1,1.7,31.4,44.6,112.4,777.3285714285714,496.0,798.0586206896552,152.1
